record_id,flight_date,flight_month,flight_year,airport_name,origin_state_abbr,operator,make_model,aircraft_type,engines,flight_phase,altitude,conditions_sky,conditions_precipitation,cost,damage,effect,wildlife_species,remarks,remains_collected,remains_sent_to_smithsonian,pilot_warned,number_struck,wildlife_size,people_injured,number_struck_actual
1096819,2021-04-19,4,2021,CHICAGO O'HARE INTL ARPT,IL,UNKNOWN,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,0.0,Unknown,Not Specified,Ring-billed gull,"Operations found remains during nightly runway inspection on the East shoulder of the runway, at the midpoint. Wildlife Services confirmed bird ID. NIGHT",1,0,Unknown,1,Medium,0.0,1.0
1096867,2021-04-18,4,2021,CHICAGO O'HARE INTL ARPT,IL,ENVOY AIR,EMB-145,A  ,2.0,Approach,100.0,No Cloud,No Precipitation,0.0,N,Not Specified,Canada goose,"Blood found on right side main landing gear. Aircraft personnel reported striking bird upon landing. Operations found remains at the midpoint of the runway. No visible damage seen, but bird struck the left main landing gear. Wildlife Services confirmed bird ID.",1,0,No,1,Large,0.0,1.0
1097344,2021-04-11,4,2021,JOHN F KENNEDY INTL,NY,AMERICAN AIRLINES,B-777-300,A  ,2.0,Descent,0.0,Overcast,Rain,0.0,N,Not Specified,White-headed gull complex,Feathers were found by maintenance crew at hanger .Flight landed at 1253pm. Smithsonian Wildlife/Species Identification: White-headed gull complex (Larus spp),1,1,Yes,1,Medium,0.0,1.0
1097393,2021-04-19,4,2021,JOHN F KENNEDY INTL,NY,VOLARIS,A-320,A  ,2.0,Climb,3000.0,Some Cloud,No Precipitation,0.0,N,Not Specified,Unknown bird - medium,ENGINE   PW1127G-JM . FOUR PHOTOS,0,0,Yes,1,Medium,0.0,1.0
1097808,2021-04-21,4,2021,DENVER INTL AIRPORT,CO,UNKNOWN,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,0.0,Unknown,Not Specified,Horned lark,Carcass found during regular day inspection,1,0,Unknown,1,Small,0.0,1.0
1097829,2021-04-22,4,2021,DENVER INTL AIRPORT,CO,UNKNOWN,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,0.0,Unknown,Not Specified,White-tailed jackrabbit,"Rabbit found during inspection, disposed of properly",1,0,Unknown,1,Large,0.0,1.0
1097830,2021-04-22,4,2021,GREATER ROCHESTER INTL,NY,ASTAR AIR CARGO,UNKNOWN,Unknown,2.0,Take-off Run,0.0,Some Cloud,No Precipitation,0.0,Unknown,Not Specified,Ring-billed gull,Unknown but remains found on runway were very small and the feathers looked to have been cut or chopped up. possible engine ingestion. REGISTRATION AND FLIGHT NUMBER NOT REPORTED,1,0,Yes,1,Medium,0.0,1.0
1098075,2021-04-27,4,2021,CHICAGO MIDWAY INTL ARPT,IL,SOUTHWEST AIRLINES,B-737-800,A  ,2.0,Approach,2400.0,No Cloud,No Precipitation,0.0,N,Not Specified,Unknown bird - small,"Very small bird or large bug struck First officer windshield, no damage. Right hand windshield, no damage. WADLL. ",0,0,Yes,1,Small,0.0,1.0
1098130,2021-04-27,4,2021,CHICAGO/ROCKFORD INTL ARPT,IL,UNKNOWN,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,0.0,Unknown,Not Specified,Wilson's snipe,Wing found on runway 7/25 at twy G. DAY. 3 PHOTOS.,1,1,Unknown,1,Small,0.0,1.0
1098140,2021-04-28,4,2021,QUAD CITY ARPT,IL,UNKNOWN,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,0.0,Unknown,Not Specified,Grasshopper sparrow,Found dead with blood on runway. DAY. 1 PHOTO.,1,0,Unknown,1,Small,0.0,1.0
1098179,2021-04-29,4,2021,CENTENNIAL ARPT,CO,BUSINESS,C-172,A  ,1.0,Approach,200.0,No Cloud,No Precipitation,0.0,N,Not Specified,Unknown bird - small,No damage no injuries. Struck under side of left wing. No damage to the aircraft. NOTE: OWNER/ OPERATOR  CAREER PILOT TRAINING LLC/ ATP Flight School.,0,0,No,1,Small,0.0,1.0
1098180,2021-04-28,4,2021,PEORIA INTL ARPT,IL,UNKNOWN,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,0.0,Unknown,Not Specified,American kestrel,"REMAINS FOUND ON RUNWAY 22, UNKNOWN WHAT AIRCRAFT IT WAS STRUCK BY. DAY.",1,0,Unknown,1,Small,0.0,1.0
1098185,2021-04-29,4,2021,CENTENNIAL ARPT,CO,UNKNOWN,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,0.0,Unknown,Not Specified,Double-crested cormorant,NIGHT. ,1,0,Unknown,1,Large,0.0,1.0
