id,ident,type,airport_name,latitude,longitude,elevation_ft,iso_region,municipality,scheduled_service,icao_code,iata_code,state_abbr,airport_name_clean
23187,NK56,heliport,IBM Fishkill Plant Number 2 Heliport,41.5434,-73.819,250.0,US-NY,Hopewell Junction,no,,,NY,IBM FISHKILL PLANT NUMBER 2 HELIPORT
23188,NK57,heliport,Ross Heliport,43.11949920654297,-78.93589782714844,635.0,US-NY,Niagara Falls,no,,,NY,ROSS HELIPORT
23189,NK58,heliport,Gibraltar Heliport,42.52840042114258,-78.90730285644531,770.0,US-NY,Hamburg,no,,,NY,GIBRALTAR HELIPORT
23192,NK61,heliport,General Electric R&D Center Heliport,42.82699966430664,-73.87460327148438,354.0,US-NY,Schenectady,no,,,NY,GENERAL ELECTRIC R&D CENTER HELIPORT
23194,NK64,heliport,Albany Medical Center Heliport,42.653692,-73.775366,209.0,US-NY,Albany,no,,,NY,ALBANY MEDICAL CENTER HELIPORT
23195,NK65,heliport,H & H Aviation Service Inc. Heliport,42.4833984375,-79.07749938964844,1000.0,US-NY,Forestville,no,,,NY,H & H AVIATION SERVICE INC. HELIPORT
23196,NK68,small_airport,White Birch Airport,42.051627,-75.316823,1860.0,US-NY,Hancock,no,,,NY,WHITE BIRCH AIRPORT
23197,NK71,small_airport,Marcellus Airport,43.01119995117188,-76.34970092773438,850.0,US-NY,Marcellus,no,,,NY,MARCELLUS AIRPORT
23198,NK72,small_airport,Henion Private Field Airport,42.376029,-76.531938,1386.0,US-NY,Danby,no,,,NY,HENION PRIVATE FIELD AIRPORT
23200,NK74,small_airport,Match Mate Airport,42.74449920654297,-76.6635971069336,840.0,US-NY,Aurora,no,,,NY,MATCH MATE AIRPORT
23201,NK75,heliport,Thomas E. Perdue Heliport,44.93669891357422,-74.90969848632812,260.0,US-NY,Massena,no,,,NY,THOMAS E. PERDUE HELIPORT
23202,NK76,small_airport,Grammar Airport,42.88249969482422,-77.05169677734375,755.0,US-NY,Geneva,no,,,NY,GRAMMAR AIRPORT
23203,NK77,heliport,Niagara Falls Memorial Parking Ramp Heliport,43.09389877319336,-79.05120086669922,670.0,US-NY,Niagara Falls,no,,,NY,NIAGARA FALLS MEMORIAL PARKING RAMP HELIPORT
23204,NK78,heliport,GE Management Development Institute Heliport,41.187813,-73.86817,181.0,US-NY,Ossining,no,,,NY,GE MANAGEMENT DEVELOPMENT INSTITUTE HELIPORT
23205,NK79,small_airport,Lewis Landing Airport,41.406667,-74.533056,880.0,US-NY,Slate Hill,no,,,NY,LEWIS LANDING AIRPORT
23206,NK80,heliport,Rainbow Air Heliport,43.08890151977539,-79.06230163574219,583.0,US-NY,Niagara Falls,no,,,NY,RAINBOW AIR HELIPORT
23211,NK85,heliport,Harris Hill Heliport,41.24449920654297,-73.68009948730469,280.0,US-NY,Bedford Hills,no,,,NY,HARRIS HILL HELIPORT
23213,NK87,small_airport,Merkle Airport,43.06669998168945,-78.59970092773438,590.0,US-NY,Clarence Center,no,,,NY,MERKLE AIRPORT
23214,NK89,small_airport,Ultralight Flight Farm Ultralightport,42.29169845581055,-77.05799865722656,1200.0,US-NY,Monterey,no,,,NY,ULTRALIGHT FLIGHT FARM ULTRALIGHTPORT
23215,NK90,heliport,TLI Heliport,41.14725,-73.86931,9.0,US-NY,Ossining,no,,,NY,TLI HELIPORT
23216,NK91,small_airport,Boyle's Landing Airport,42.816200256347656,-74.62460327148438,1300.0,US-NY,Sharon Springs,no,,,NY,BOYLE'S LANDING AIRPORT
23217,NK92,heliport,Eab Plaza Heliport,40.71950149536133,-73.58290100097656,95.0,US-NY,Uniondale,no,,,NY,EAB PLAZA HELIPORT
23218,NK95,heliport,Bastek Heliport,41.320899963378906,-74.50430297851562,450.0,US-NY,Pine Island,no,,,NY,BASTEK HELIPORT
23219,NK96,heliport,St Francis Hospital Heliport,41.71856,-73.928587,163.0,US-NY,Poughkeepsie,no,,,NY,ST FRANCIS HOSPITAL HELIPORT
