flight_date,flight_month,flight_year,airport_name,origin_state_abbr,operator,aircraft_type,engines,flight_phase,altitude,conditions_sky,conditions_precipitation,wildlife_species,pilot_warned,wildlife_size,latitude,longitude,elevation_ft,nearest_turbine_km,avg_temp_c,avg_humidity_pct,avg_wind_speed_kmh,avg_visibility_km,total_precip_mm,avg_pressure_hpa,season,migration_density,is_peak_migration,risk_target
2025-07-06,7,2025,DENVER INTL AIRPORT,CO,UNITED AIRLINES,A  ,2.0,Landing Roll,0.0,Some Cloud,No Precipitation,Cliff swallow,Unknown,Small,39.861698,-104.672997,5431.0,14.11,22.39316239316239,52.256410256410255,24.305160512820517,16.03232761025641,0.762,836.3775486410257,Summer,0.0043,0,2
2025-07-06,7,2025,DENVER INTL AIRPORT,CO,UNITED AIRLINES,A  ,2.0,Take-off Run,0.0,Some Cloud,No Precipitation,Mourning dove,Unknown,Small,39.861698,-104.672997,5431.0,14.11,22.39316239316239,52.256410256410255,24.305160512820517,16.03232761025641,0.762,836.3775486410257,Summer,0.0043,0,2
2025-07-06,7,2025,DENVER INTL AIRPORT,CO,UNITED AIRLINES,A  ,2.0,Take-off Run,0.0,Some Cloud,No Precipitation,Cliff swallow,Unknown,Small,39.861698,-104.672997,5431.0,14.11,22.39316239316239,52.256410256410255,24.305160512820517,16.03232761025641,0.762,836.3775486410257,Summer,0.0043,0,2
2025-07-22,7,2025,DENVER INTL AIRPORT,CO,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,Horned lark,Unknown,Small,39.861698,-104.672997,5431.0,14.11,24.926900584795323,46.1578947368421,19.227377894736843,15.946018336842103,0.7619999999999999,832.2855464736842,Summer,0.0043,0,2
2025-07-22,7,2025,DENVER INTL AIRPORT,CO,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,Gopher snake,Unknown,Large,39.861698,-104.672997,5431.0,14.11,24.926900584795323,46.1578947368421,19.227377894736843,15.946018336842103,0.7619999999999999,832.2855464736842,Summer,0.0043,0,2
2025-07-22,7,2025,DENVER INTL AIRPORT,CO,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,Western meadowlark,Unknown,Small,39.861698,-104.672997,5431.0,14.11,24.926900584795323,46.1578947368421,19.227377894736843,15.946018336842103,0.7619999999999999,832.2855464736842,Summer,0.0043,0,2
2025-07-23,7,2025,QUAD CITY ARPT,IL,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,Killdeer,Unknown,Small,41.4485,-90.5075,590.0,11.69,28.59375,65.5,18.20565875,16.018968025,0.0,991.9794556875,Summer,0.0023,0,1
2025-07-23,7,2025,CHICAGO MIDWAY INTL ARPT,IL,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,Barn swallow,Unknown,Small,41.785999,-87.752197,620.0,8.59,28.59375,65.5,18.20565875,16.018968025,0.0,991.9794556875,Summer,0.0023,0,1
2025-07-23,7,2025,DENVER INTL AIRPORT,CO,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,Mourning dove,Unknown,Small,39.861698,-104.672997,5431.0,14.11,21.86728395061728,62.02777777777778,17.032181666666666,16.071942133333334,0.508,835.1402138333333,Summer,0.0043,0,1
2025-07-24,7,2025,CHICAGO MIDWAY INTL ARPT,IL,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,American kestrel,Unknown,Small,41.785999,-87.752197,620.0,8.59,27.380952380952383,78.2,15.633588571428572,15.93338562285714,1.5239999999999998,991.002845,Summer,0.0023,0,1
2025-03-29,3,2025,CHICAGO O'HARE INTL ARPT,IL,ENVOY AIR,A  ,2.0,Approach,0.0,Unknown,No Precipitation,Unknown bird,Unknown,Unknown,41.9786,-87.9048,680.0,4.16,14.021739130434783,76.43478260869566,17.667754347826087,12.934195608695653,2.286,984.9683400869563,Spring,0.0046,0,2
2025-07-24,7,2025,DENVER INTL AIRPORT,CO,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,Horned lark,Unknown,Small,39.861698,-104.672997,5431.0,14.11,21.714285714285715,56.82857142857143,15.081814857142858,16.07132905142857,0.0,838.0734726000001,Summer,0.0043,0,0
2025-07-24,7,2025,DENVER INTL AIRPORT,CO,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,Plains garter snake,Unknown,Small,39.861698,-104.672997,5431.0,14.11,21.714285714285715,56.82857142857143,15.081814857142858,16.07132905142857,0.0,838.0734726000001,Summer,0.0043,0,0
2025-07-25,7,2025,GUNNISON-CRESTED BUTTE REGNL ARPT,CO,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,Swainson's hawk,Yes,Medium,38.534672,-106.934566,7680.0,202.3,24.400584795321635,39.13157894736842,18.65183794871795,16.07359273846154,0.0,835.0924570512822,Summer,0.0043,0,0
2025-07-25,7,2025,DENVER INTL AIRPORT,CO,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,Mourning dove,Unknown,Small,39.861698,-104.672997,5431.0,14.11,24.400584795321635,39.13157894736842,18.65183794871795,16.07359273846154,0.0,835.0924570512822,Summer,0.0043,0,1
2025-07-26,7,2025,EAGLE COUNTY REGIONAL,CO,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,Osprey,Unknown,Large,39.64260101,-106.9179993,6548.0,147.17,27.43243243243243,28.054054054054053,18.52915783783784,16.072522075675675,0.0,833.6102367297298,Summer,0.0043,0,1
2025-03-30,3,2025,CHICAGO MIDWAY INTL ARPT,IL,SOUTHWEST AIRLINES,A  ,2.0,Approach,0.0,Unknown,No Precipitation,Unknown bird,Unknown,Unknown,41.785999,-87.752197,620.0,8.59,12.83816425120773,78.26086956521739,20.396635217391303,13.01921074347826,2.54,978.2470921086956,Spring,0.0046,0,2
2025-07-26,7,2025,DENVER INTL AIRPORT,CO,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,Western meadowlark,Unknown,Small,39.861698,-104.672997,5431.0,14.11,27.43243243243243,28.054054054054053,18.52915783783784,16.072522075675675,0.0,833.6102367297298,Summer,0.0043,0,1
